TimeStamp,GBVibForward,GBVibLateral,GBVibVertical,addVibForward,addVibLateral,addVibVertical
2017/05/24_12:10:21.736,-1016.443,107.543,-6.71,0,,
2017/05/24_12:10:21.741,-1016.138,106.933,-6.832,0,,
2017/05/24_12:10:21.746,-1016.992,104.066,-10.187,0,,
2017/05/24_12:10:21.751,-1018.517,106.506,-10.431,0,,
2017/05/24_12:10:21.756,-1018.761,103.944,-6.832,0,,
2017/05/24_12:10:21.761,-1019.676,105.103,-7.808,0,,
2017/05/24_12:10:21.766,-1019.798,109.495,-8.052,0,,
2017/05/24_12:10:21.771,-1018.944,105.957,-7.747,0,,
2017/05/24_12:10:21.776,-1017.663,106.384,-9.455,0,,
2017/05/24_12:10:21.781,-1016.87,104.859,-6.405,0,,
2017/05/24_12:10:21.786,-1019.432,107.238,-7.564,0,,
2017/05/24_12:10:21.791,-1018.395,108.397,-6.466,0,,
2017/05/24_12:10:21.796,-1017.297,107.848,-8.784,0,,
2017/05/24_12:10:21.801,-1014.979,107.238,-9.821,0,,
2017/05/24_12:10:21.806,-1016.504,107.604,-4.331,0,,
2017/05/24_12:10:21.811,-1017.907,107.421,-8.784,0,,
2017/05/24_12:10:21.816,-1015.528,108.702,-5.368,0,,
2017/05/24_12:10:21.821,-1016.748,111.325,-8.662,0,,
2017/05/24_12:10:21.826,-1017.053,105.53,-6.832,0,,
2017/05/24_12:10:21.831,-1013.881,105.53,-7.808,0,,
2017/05/24_12:10:21.836,-1019.493,109.312,-7.747,0,,
2017/05/24_12:10:21.841,-1018.395,107.787,-8.113,0,,
2017/05/24_12:10:21.846,-1017.48,104.981,-7.869,0,,
2017/05/24_12:10:21.851,-1017.785,105.713,-7.381,0,,
2017/05/24_12:10:21.856,-1020.408,106.811,-9.76,0,,
2017/05/24_12:10:21.861,-1017.602,108.214,-7.625,0,,
2017/05/24_12:10:21.866,-1017.297,109.007,-6.344,0,,
2017/05/24_12:10:21.871,-999.912,106.689,-7.808,0,,
2017/05/24_12:10:21.876,-1016.748,106.994,-8.967,0,,
2017/05/24_12:10:21.881,-1016.382,109.19,-10.126,0,,
2017/05/24_12:10:21.886,-1019.31,105.469,-7.198,0,,
2017/05/24_12:10:21.891,-1015.955,106.506,-6.527,0,,
2017/05/24_12:10:21.896,-1019.188,106.811,-5.978,0,,
2017/05/24_12:10:21.901,-1018.09,104.859,-6.954,0,,
2017/05/24_12:10:21.906,-1016.992,108.763,-6.1,0,,
2017/05/24_12:10:21.911,-1019.615,108.641,-4.514,0,,
2017/05/24_12:10:21.916,-1021.445,106.445,-8.784,0,,
2017/05/24_12:10:21.921,-1017.724,106.811,-8.235,0,,
2017/05/24_12:10:21.926,-1020.835,107.238,-8.174,0,,
2017/05/24_12:10:21.931,-1015.406,104.432,-8.113,0,,
2017/05/24_12:10:21.936,-1021.689,106.262,-6.1,0,,
2017/05/24_12:10:21.941,-1017.785,105.652,-6.222,0,,
2017/05/24_12:10:21.946,-1017.907,102.358,-6.344,0,,
2017/05/24_12:10:21.951,-1014.43,104.554,-7.869,0,,
2017/05/24_12:10:21.956,-1014.796,107.299,-9.638,0,,
2017/05/24_12:10:21.961,-1016.87,107.116,-6.588,0,,
2017/05/24_12:10:21.966,-1019.249,106.994,-6.161,0,,
2017/05/24_12:10:21.971,-1019.493,105.591,-7.93,0,,
2017/05/24_12:10:21.976,-1015.833,106.323,-4.636,0,,
2017/05/24_12:10:21.981,-1017.48,106.933,-7.808,0,,
2017/05/24_12:10:21.986,-1019.371,106.445,-9.821,0,,
2017/05/24_12:10:21.991,-1015.772,105.286,-9.76,0,,
2017/05/24_12:10:21.996,-1017.236,106.14,-9.76,0,,
2017/05/24_12:10:22.001,-1018.639,107.421,-5.246,0,,
2017/05/24_12:10:22.006,-1017.297,104.31,-7.259,0,,
2017/05/24_12:10:22.011,-1017.846,108.153,-6.832,0,,
2017/05/24_12:10:22.016,-1016.931,107.36,-7.32,0,,
2017/05/24_12:10:22.021,-1017.602,106.567,-7.198,0,,
2017/05/24_12:10:22.026,-1016.992,106.262,-7.015,0,,
2017/05/24_12:10:22.031,-1018.944,105.835,-7.625,0,,
2017/05/24_12:10:22.036,-1021.445,107.177,-7.259,0,,
2017/05/24_12:10:22.041,-1017.114,105.408,-8.784,0,,
2017/05/24_12:10:22.046,-1015.955,108.397,-8.601,0,,
2017/05/24_12:10:22.051,-1015.894,104.92,-7.015,0,,
2017/05/24_12:10:22.056,-1016.687,104.798,-7.93,0,,
2017/05/24_12:10:22.061,-1017.663,105.469,-6.283,0,,
2017/05/24_12:10:22.066,-1019.737,105.774,-7.015,0,,
2017/05/24_12:10:22.071,-1012.6,105.469,-7.015,0,,
2017/05/24_12:10:22.076,-1016.687,108.397,-7.503,0,,
2017/05/24_12:10:22.081,-1018.029,107.482,-8.662,0,,
2017/05/24_12:10:22.086,-1016.626,106.933,-8.052,0,,
2017/05/24_12:10:22.091,-1018.273,105.774,-9.15,0,,
2017/05/24_12:10:22.096,-1015.223,108.031,-7.686,0,,
2017/05/24_12:10:22.101,-1014.491,105.042,-12.322,0,,
